Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
selling-plans-ski-wax,Selling Plans Ski Wax,,larry test shop 111,,accessories,"Accessory, Sport, Winter",TRUE,Title,Selling Plans Ski Wax,,,,,,,,,56.69904625,shopify,deny,manual,24.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/snowboard_wax.png?v=1741930860,1,A bar of golden yellow wax,FALSE,,,,,,,,,,,,,,,,,oz,,,TRUE,,,TRUE,,,TRUE,,,active
selling-plans-ski-wax,,,,,,,,,Special Selling Plans Ski Wax,,,,,,,,,70.87380781,shopify,deny,manual,49.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/wax-special.png?v=1741930860,2,A bar of purple wax,,,,,,,,,,,,,,,,,,oz,,,,,,,,,,,,
selling-plans-ski-wax,,,,,,,,,Sample Selling Plans Ski Wax,,,,,,,,,14.17476156,shopify,deny,manual,9.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/sample-normal-wax.png?v=1741930859,3,a small cube of wax,,,,,,,,,,,,,,,,,,oz,,,,,,,,,,,,
the-collection-snowboard-hydrogen,The Collection Snowboard: Hydrogen,,Hydrogen Vendor,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,600,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_0a40b01b-5021-48c1-80d1-aa8ab4876d3d.jpg?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows stylized hydrogen bonds and the bottom view
        shows “H2” in a brush script typeface.",FALSE,,,,,,,,,,,,,,Optimistic,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-minimal-snowboard,The Minimal Snowboard,,larry test shop 111,,,,FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,885.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-draft-snowboard,The Draft Snowboard,,Snowboard Vendor,,snowboard,,FALSE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,2629.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1741930859,1,"Top and bottom view of a snowboard.The top view shows the text “hydrogen” in overlapping blue,
          pink and black font. The bottom view is a purple to blue gradient with white geometric pattern overlay.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,draft
the-compare-at-price-snowboard,The Compare at Price Snowboard,,larry test shop 111,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,,0,shopify,deny,manual,785.95,885.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/snowboard_sky.png?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows pixelated clouds, with the top-most one being
        the shape of the Shopify bag logo. The bottom view has a pixelated cloudy sky with blue, pink and purple
        colours.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
the-inventory-not-tracked-snowboard,The Inventory Not Tracked Snowboard,,larry test shop 111,,snowboard,"Accessory, Sport, Winter",TRUE,Title,Default Title,,,,,,,,sku-untracked-1,0,,deny,manual,949.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/snowboard_purple_hydrogen.png?v=1741930859,1,"Top and bottom view of a snowboard. The top view shows a centred hexagonal logo for Hydrogen that
          appears to radiate outwards, as well as some overlapping hexagons at the bottom. The bottom view shows an
          abstract angular grid in purples.",FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
gift-card,Gift Card,This is a gift card for the store,Snowboard Vendor,Gift Cards,giftcard,,TRUE,Denominations,$10 ,,,,,,,,,0,,deny,gift_card,10,,FALSE,FALSE,,https://cdn.shopify.com/s/files/1/0914/1977/1267/files/gift_card.png?v=1741930860,1,Gift card that shows text: Generated data gift card,TRUE,,,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
gift-card,,,,,,,,,$25 ,,,,,,,,,0,,deny,gift_card,25,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
gift-card,,,,,,,,,$50 ,,,,,,,,,0,,deny,gift_card,50,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
gift-card,,,,,,,,,$100 ,,,,,,,,,0,,deny,gift_card,100,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
